Name,Service Type,Phone,Email,Address,Latitude,Longitude,URL
PRONTO!,Health,(03) 9416 2889,,"200 Hoddle St, Abbotsford VIC 3067",-37.80102,144.99315,pronto.org.au,,,,
Northside Clinic,Health,(03) 9485 7700,,"370 St Georges Road Fitzroy North, Vic 3068",-37.77879,144.98797,https://northsideclinic.net.au/contact/,,,,
Melbourne Sexual Health Centre,Health,(03) 9341 6200,,"580 Swanston St, Carlton VIC 3053",-37.80314,144.96378,https://www.mshc.org.au/clinics-services/accessing-our-sti-clinic/make-a-booking,,,,
Family Planning Victoria (FPV) Action Centre,Health,03 9660 4700,action@fpv.org.au,"Level 1, 94 Elizabeth Street, Melbourne, VIC, 3000",-37.81574,144.96412,http://www.fpv.org.au,,,,
Melbourne Rapid HIV Testing,Health, +61 3 9944 6200,info@erahealth.com.au,"L9, 460 Bourke St Melbourne, VIC 3000 Australia",-37.8141745,145.08032,https://www.melbournerapidhivtest.com.au/book-a-rapid-hiv-test/,,,,
Prahran Market Clinic,Health,(03) 9514 0888,hello@prahranmarketclinic.com,"Pran Central Shopping Centre Mezzanine Level, 325 Chapel St, Prahran VIC 3181",-37.85114,144.99318,https://www.prahranmarketclinic.com/,,,,
Sandringham Hospital (Alfred Health),Health,(03) 9076 1000,,"193 Bluff Rd, Sandringham VIC 3191",-37.9608309,145.0180093,https://www.alfredhealth.org.au/sandringham,,,,
Caulfield Hospital (Alfred Health),Health,(03) 9076 6000,,"260 Kooyong Rd, Caulfield VIC 3162",-37.8823815,145.016733,https://www.alfredhealth.org.au/caulfield,,,,
The Alfred (Alfred Health),Health,(03) 9076 2000,,"55 Commercial Rd, Melbourne VIC 3004",-37.8461194,144.9827286,https://www.alfredhealth.org.au/the-alfred,,,,
Centre Clinic,Health,(03) 9525 5866,,"Suite 3A 79-81 Fitzroy Street, St Kilda, VIC, 3182",-37.8607129,144.9759245,,,,,
Equinox,Health,9416 2889,gabe.curtis@thorneharbour.org,"79-81 Fitzroy Street St Kilda, VIC 3182",-37.8607129,144.9759245,,,,,
Andrew Place Clinic - Bundoora,Health,(03) 9467 1444,,"5 Judith St, Bundoora VIC 3083",-37.7001243,145.07262,,,,,
